param N := 5;
param NLINKS := 20; #N*(N-1);
param MSTART :=1;

param: LINKS : capacity_P =
		[1,2]		1    	
		[1,3] 		1		
		[1,4]		1		
		[2,1]		1    	
		[2,3] 		1		
		[2,4]		1		
		[3,1]		1    	
		[3,2] 		1		
		[3,4]		1		
		[4,1]		1    	
		[4,2] 		1		
		[4,3]		1
		[1,5]		1
		[2,5]		1
		[3,5]		1
		[4,5]		1
		[5,1]		1
		[5,2]		1
		[5,3]		1
		[5,4]		1;
		
param gamma := 

		1	1
		2	1
		3	1
		4	1
		5	1
		6	1
		7	2
		8	2
		9	2
		10	2
		11	2
		12	2
		13	2
		14	2
		15	2
		16	2
		17	2
		18	2
		19	3
		20	3;

